1999	обострение ситуации в Чечне, взрывы жилых домов в Москве, Волгодонске, Буйнакске, [ввод войск на территорию Чечни](https://ja.wikipedia.org/wiki/%E7%AC%AC%E4%BA%8C%E6%AC%A1%E3%83%81%E3%82%A7%E3%83%81%E3%82%A7%E3%83%B3%E7%B4%9B%E4%BA%89) «с целью уничтожения боевиков».
2013	закон «об оскорблении чувств верующих». Поправки, предусматривающие уголовную ответственность в виде лишения свободы. Приняты после дела [Pussy Riot.](https://ja.wikipedia.org/wiki/%E3%83%97%E3%83%83%E3%82%B7%E3%83%BC%E3%83%BB%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%83%E3%83%88)
2013	закон о [запрете «пропаганды гомосексуализма».](https://ja.wikipedia.org/wiki/%E3%83%AD%E3%82%B7%E3%82%A2%E3%81%AB%E3%81%8A%E3%81%91%E3%82%8B%E5%90%8C%E6%80%A7%E6%84%9B%E5%AE%A3%E4%BC%9D%E7%A6%81%E6%AD%A2%E6%B3%95) Запрет на деятельность, которая, по мнению властей, «пропагандирует нетрадиционные сексуальные отношения среди несовершеннолетних».
2014	[аннексия Крыма](https://ja.wikipedia.org/wiki/%E3%83%AD%E3%82%B7%E3%82%A2%E3%81%AB%E3%82%88%E3%82%8B%E3%82%AF%E3%83%AA%E3%83%9F%E3%82%A2%E3%81%AE%E4%BD%B5%E5%90%88), санкции против России, ответное российское продовольственное эмбарго.
2014	закон о выборах в Государственную думу. Новые условия ограничивают доступ независимым кандидатам и кандидатам от небольших партий.
2015	убийство [Бориса Немцова](https://ja.wikipedia.org/wiki/%E3%83%9C%E3%83%AA%E3%82%B9%E3%83%BB%E3%83%8D%E3%83%A0%E3%83%84%E3%82%A9%E3%83%95), одного из главных оппозиционных политиков. Немцов в том числе автор доклада [«Путин. Война»](https://en.wikipedia.org/wiki/Putin._War) о вмешательстве России в украинскую политику и участии российских вооруженных сил в присоединении Крыма и войне на востоке Украины. Заказчик убийства не найден по сей день.
2015	закон «о нежелательных организациях», разрешает властям закрывать неправительственные организации, деятельность которых «угрожает национальной безопасности РФ».
2017	Фонд борьбы с коррупцией публикует громкое расследование [«Он вам не Димон»](https://en.wikipedia.org/wiki/He_Is_Not_Dimon_to_You) о Дмитрии Медведеве. Массовые протестные акции по всей стране.
2018	выборы президента. Владимир Путин избирается на свой четвертый срок.
2018	[отравление Сергея и Юлии Скрипаль.](https://en.wikipedia.org/wiki/Poisoning_of_Sergei_and_Yulia_Skripal)
2018	убийство в Центральноафриканской республике российских журналистов, которые снимали документальный фильм о присутствии в стране российской военной компании [«ЧВК Вагнера».](https://ja.wikipedia.org/wiki/%E3%83%AF%E3%82%B0%E3%83%8A%E3%83%BC%E3%83%BB%E3%82%B0%E3%83%AB%E3%83%BC%E3%83%97)
2019	поправки к закону об «иностранных агентах». Теперь этот статус можно присваивать физическим лицам. Расширение списка иностранных агентов среди СМИ.
2020	в послании Федеральному собранию Путин говорит, что Россия впервые в своей истории смогла опередить другие страны в области ракетно-ядерных вооружений.
2020	Путин анонсирует референдум по поводу внесения поправок в Конституцию РФ. Одна из поправок — возможность одного человека переизбираться в президенты неограниченное количество раз. [Голосование](https://en.wikipedia.org/wiki/2020_Russian_constitutional_referendum) прошло летом 2020 года, поправки были приняты.
2020	[протесты в Белоруссии.](https://ja.wikipedia.org/wiki/2020%E5%B9%B4-2021%E5%B9%B4%E3%83%99%E3%83%A9%E3%83%AB%E3%83%BC%E3%82%B7%E5%8F%8D%E6%94%BF%E5%BA%9C%E3%83%87%E3%83%A2) Владимир Путин выступил с поддержкой Владимира Лукашенко.
20 августа 2020	[отравление](https://en.wikipedia.org/wiki/Poisoning_of_Alexei_Navalny) создателя Фонда борьбы с коррупцией Алексея Навального. Навального увозят на лечение в Германию.
17 января 2021	возвращение Навального в Россию и арест, который длится до сих пор.
19 января 2021	выход расследования Фонда борьбы с коррупцией «[Дворец для Путина. История самой большой взятки».](https://en.wikipedia.org/wiki/Putin%27s_Palace_(film))
июль 2021	статья Владимира Путина [«Об историческом единстве России и Украины».](https://ja.wikipedia.org/wiki/%E3%83%AD%E3%82%B7%E3%82%A2%E4%BA%BA%E3%81%A8%E3%82%A6%E3%82%AF%E3%83%A9%E3%82%A4%E3%83%8A%E4%BA%BA%E3%81%AE%E6%AD%B4%E5%8F%B2%E7%9A%84%E4%B8%80%E4%BD%93%E6%80%A7%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6)
28 февраля 2022	ликвидация Международного историко-просветительского, правозащитного и благотворительного общества [«Мемориал».](https://ja.wikipedia.org/wiki/%E3%83%A1%E3%83%A2%E3%83%AA%E3%82%A2%E3%83%AB_(%E4%BA%BA%E6%A8%A9%E5%9B%A3%E4%BD%93)) Занималось расследованиями политических репрессий в СССР и современной России и сохранением памяти об их жертвах.
22 февраля 2022	Совет Федераций РФ поддержал обращение Владимира Путина об использовании вооруженных сил России за рубежом.
22 февраля 2022	Владимир Путин объявил о признании Россией государственности самопровозглашенных республик Донбасса: [ДНР и ЛНР в границах Донецкой и Луганской областей.](https://en.wikipedia.org/wiki/International_recognition_of_the_Donetsk_People%27s_Republic_and_the_Luhansk_People%27s_Republic)
24 февраля 2022	российские войска вошли на территорию Украины. Начало войны.
2024	ранее Владимир Путин заявлял, что не будет баллотироваться в президенты в 2024 году. Но после принятия поправок допустил, что будет.
